,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现
4,DD201708167493759548618252006,E43A6E078A04134,3.0,3.0,600ml可口可乐,2017/1/1 9:41,B,已出货未退款,已提现
5,DD2017081016294251D0FA5D314F1,E43A6E078A04134,4.5,4.5,营养快线,2017/1/1 9:41,B,已出货未退款,已提现
8,DD20170526144916178D2B0429C26,E43A6E078A04134,3.0,3.0,茉莉蜜茶,2017/1/1 11:56,B,已出货未退款,已提现
26,DD20170526164305220F5FD19CC2B,E43A6E078A04134,3.0,3.0,可口可乐最新款,2017/1/1 20:25,B,已出货未退款,已提现
38,DD201708101628301024CCDCABC17,E43A6E078A04134,2.0,2.0,鸭翅,2017/1/2 13:34,B,已出货未退款,已提现
44,DD201708167493000977911129669717,E43A6E078A04134,4.5,4.5,500ml营养快线原味,2017/1/2 14:36,B,已出货未退款,已提现
47,DD2017081016005760A75384AE967,E43A6E078A04134,3.5,3.5,王老吉（罐）,2017/1/2 15:28,B,已出货未退款,已提现
55,DD201708167493662796458254074,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/2 17:03,B,已出货未退款,已提现
60,DD20170816749300152283248653128,E43A6E078A04134,3.5,3.5,250ml燕塘甜牛奶,2017/1/2 18:59,B,已出货未退款,已提现
63,DD20170816749300156131773605949,E43A6E078A04134,9.0,9.0,250ml燕塘原味酸奶,2017/1/2 20:03,B,已出货未退款,已提现
64,DD20170816749300168097665780486,E43A6E078A04134,4.5,4.5,85g嘉士利果乐果香夹心饼干蓝莓味,2017/1/2 20:28,B,已出货未退款,已提现
69,DD201708167493954192317236818,E43A6E078A04134,2.5,2.5,伊利优酸乳,2017/1/2 21:18,B,已出货未退款,已提现
78,DD201708101552011255E431BA372,E43A6E078A04134,3.5,3.5,王老吉（罐）,2017/1/2 23:48,B,已出货未退款,已提现
80,DD20170816749300220148273130327,E43A6E078A04134,1.5,1.5,40g双汇玉米热狗肠,2017/1/3 1:52,B,已出货未退款,已提现
97,DD201708167493507597593656837,E43A6E078A04134,2.0,2.0,85g新麦潮手撕面包（提子味）,2017/1/3 15:20,B,已出货未退款,已提现
98,DD2017081017512019E13B6462016,E43A6E078A04134,2.5,2.5,伊利优酸乳,2017/1/3 15:20,B,已出货未退款,已提现
99,DD201708167493662294715490631,E43A6E078A04134,4.8,4.8,诗竹竹纤维面巾纸,2017/1/3 15:21,B,已出货未退款,已提现
101,DD201708167493662162234846149,E43A6E078A04134,6.0,6.0,250ml维他柠檬茶,2017/1/3 15:23,B,已出货未退款,已提现
104,DD201705261404541575F1DE88E86,E43A6E078A04134,3.0,3.0,威化饼干,2017/1/3 15:44,B,已出货未退款,已提现
106,DD2017081110325934E08DF1E7EC1,E43A6E078A04134,5.0,5.0,阿萨姆奶茶,2017/1/3 15:46,B,已出货未退款,已提现
108,DD2017052614041478A37F9CF8B31,E43A6E078A04134,4.0,4.0,营养快线,2017/1/3 16:17,B,已出货未退款,已提现
129,DD2017071815491717903C5EDF866,E43A6E078A04134,2.5,2.5,可口可乐330ml,2017/1/4 0:43,B,已出货未退款,已提现
131,DD20170816749300348663877578669,E43A6E078A04134,7.0,7.0,150g洽洽原香瓜子,2017/1/4 0:44,B,已出货未退款,已提现
133,DD2017081674930035983543728314,E43A6E078A04134,4.5,4.5,40g乐事薯片黄瓜味,2017/1/4 4:35,B,已出货未退款,已提现
151,DD20170816749300455319908496865,E43A6E078A04134,1.8,1.8,32g卫龙亲嘴烧,2017/1/4 22:33,B,已出货未退款,已提现
161,DD2017081110181727A2E7134E07A,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/1/5 15:51,B,已出货未退款,已提现
164,DD201708111011584894D0D01C5C4,E43A6E078A04134,5.0,5.0,阿萨姆奶茶,2017/1/5 16:02,B,已出货未退款,已提现
169,DD20170816749300518464427876252,E43A6E078A04134,4.5,4.5,250ml燕塘甜牛奶,2017/1/5 18:03,B,已出货未退款,已提现
171,DD20170816749300543510333771024,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/5 19:51,B,已出货未退款,已提现
172,DD20170816749300561780175929282,E43A6E078A04134,0.6,0.6,20g咪咪虾条马来西亚风味,2017/1/5 20:08,B,已出货未退款,已提现
178,DD201708167493187013803098618,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/6 16:56,B,已出货未退款,已提现
179,DD2017083112062385D2D8508EAB4,E43A6E078A04134,4.0,4.0,营养快线,2017/1/6 17:40,B,已出货未退款,已提现
181,DD2017081674930064467529463178,E43A6E078A04134,4.0,4.0,450ml美汁源果粒橙,2017/1/6 23:17,B,已出货未退款,已提现
182,DD20170816749300660590292005947,E43A6E078A04134,2.5,2.5,30g无穷农场盐_鸡蛋,2017/1/7 8:59,B,已出货未退款,已提现
192,DD20170816749300717338982713,E43A6E078A04134,5.0,5.0,85g统一老坛酸菜牛肉面,2017/1/7 18:14,B,已出货未退款,已提现
193,DD20170816749300742499370964588,E43A6E078A04134,2.0,2.0,85g新麦潮北海道吐司,2017/1/8 9:12,B,已出货未退款,已提现
200,DD20170816749300795043017073937,E43A6E078A04134,2.5,2.5,250ml维他柠檬茶,2017/1/8 12:49,B,已出货未退款,已提现
204,DD201708167493232951608628311,E43A6E078A04134,3.0,3.0,58g丽芝士纳宝帝奶酪威化饼干,2017/1/8 19:54,B,已出货未退款,已提现
205,DD201708167493954507533325107,E43A6E078A04134,1.5,1.5,香脆肠,2017/1/8 19:54,B,已出货未退款,已提现
208,DD20170816749352952971861448,E43A6E078A04134,6.5,6.5,430g泰奇八宝粥,2017/1/8 19:57,B,已出货未退款,已提现
209,DD201706012031356841DE45CB2AD,E43A6E078A04134,6.0,6.0,红牛,2017/1/8 19:57,B,已出货未退款,已提现
212,DD20170816205246201C412D745E2,E43A6E078A04134,3.0,3.0,芬达330ml,2017/1/8 20:02,B,已出货未退款,已提现
213,DD2017060120471628CE832C32F0B,E43A6E078A04134,3.0,3.0,统一冰红茶,2017/1/8 20:03,B,已出货未退款,已提现
228,DD20170601211213739384DD88267,E43A6E078A04134,6.0,6.0,红牛,2017/1/8 20:13,B,已出货未退款,已提现
230,DD20170816749373549732663964,E43A6E078A04134,3.5,3.5,维他原味豆奶,2017/1/8 20:15,B,已出货未退款,已提现
231,DD2017081621573918C354FF467CD,E43A6E078A04134,3.0,3.0,怡宝纯净水,2017/1/8 20:15,B,已出货未退款,已提现
236,DD201708162206557068091CE19A3,E43A6E078A04134,3.5,3.5,统一绿茶,2017/1/8 20:22,B,已出货未退款,已提现
245,DD201708167493529868800092623,E43A6E078A04134,1.5,1.5,劲仔小鱼（卤香味）,2017/1/8 20:32,B,已出货未退款,已提现
246,DD2017060121331074F1794E4A25B,E43A6E078A04134,3.0,3.0,维他奶,2017/1/8 20:32,B,已出货未退款,已提现
249,DD201708167493847814827171603,E43A6E078A04134,4.5,4.5,50g上好佳日式鱼果,2017/1/8 20:34,B,已出货未退款,已提现
252,DD2017060121564084EAA7A4A4B45,E43A6E078A04134,6.0,6.0,安慕希酸奶,2017/1/8 20:37,B,已出货未退款,已提现
257,DD20170601222214749D7B9BDBA09,E43A6E078A04134,1.5,1.5,香脆肠,2017/1/8 20:42,B,已出货未退款,已提现
258,DD2017060122235124B546F05D0E6,E43A6E078A04134,3.5,3.5,王老吉（罐）,2017/1/8 20:46,B,已出货未退款,已提现
