,订单号,设备ID,应付金额,实际金额,商品,支付时间,地点,状态,提现
1,DD201708167493663555814061164,E43A6E078A04172,3.0,3.0,40g双汇玉米热狗肠,2017/1/1 1:33,A,已出货未退款,已提现
16,DD201708167493663388737478695,E43A6E078A04172,5.8,5.8,100g卫龙点心面黑椒牛排味,2017/1/1 19:29,A,已出货未退款,已提现
17,DD201708167493663381827746988,E43A6E078A04172,0.8,0.8,咪咪虾条马来西亚风味,2017/1/1 19:33,A,已出货未退款,已提现
20,DD201708167493683503095993712,E43A6E078A04172,3.0,3.0,250ml维他柠檬茶,2017/1/1 19:55,A,已出货未退款,已提现
22,DD2017081110292488D71D623E8F9,E43A6E078A04172,3.5,3.5,东鹏特饮,2017/1/1 20:18,A,已出货未退款,已提现
24,DD201708167493507701935975302,E43A6E078A04172,3.0,3.0,250ml维他柠檬茶,2017/1/1 20:25,A,已出货未退款,已提现
25,DD2017081018210213E80D235B1C8,E43A6E078A04172,3.0,3.0,卫龙大面筋,2017/1/1 20:25,A,已出货未退款,已提现
31,DD2017081110281595114AF30BC0D,E43A6E078A04172,3.5,3.5,东鹏特饮,2017/1/2 8:50,A,已出货未退款,已提现
34,DD201708167493662937167036721,E43A6E078A04172,1.5,1.5,卫龙亲嘴烧红烧牛肉味,2017/1/2 12:02,A,已出货未退款,已提现
37,DD2017052614372337DD5D9082B98,E43A6E078A04172,4.5,4.5,阿萨姆奶茶,2017/1/2 13:34,A,已出货未退款,已提现
43,DD201708167493000920097772300065,E43A6E078A04172,4.0,4.0,145ml旺仔牛奶盒装,2017/1/2 13:58,A,已出货未退款,已提现
49,DD2017052614334247A1D72F02E30,E43A6E078A04172,2.0,2.0,伊利优酸乳,2017/1/2 15:56,A,已出货未退款,已提现
74,DD201708167493507687358068274,E43A6E078A04172,4.5,4.5,2g韩国海牌海苔,2017/1/2 22:42,A,已出货未退款,已提现
75,DD20170811103326649396032790D,E43A6E078A04172,4.0,4.0,脉动,2017/1/2 22:42,A,已出货未退款,已提现
85,DD201708167493662547010881037,E43A6E078A04172,3.0,3.0,250ml维他柠檬茶,2017/1/3 9:50,A,已出货未退款,已提现
92,DD201708167493683259570660391,E43A6E078A04172,2.0,2.0,75g新麦潮天然酵母面包（北海道牛奶风味）,2017/1/3 14:57,A,已出货未退款,已提现
94,DD2017052616223074032E215F6CA,E43A6E078A04172,3.0,3.0,可口可乐最新款,2017/1/3 15:10,A,已出货未退款,已提现
103,DD201708101523266884F6CA4C7E2,E43A6E078A04172,3.0,3.0,果粒橙,2017/1/3 15:44,A,已出货未退款,已提现
105,DD2017052709451011EA9B9EC6FD5,E43A6E078A04172,1.0,1.0,香豆干,2017/1/3 15:46,A,已出货未退款,已提现
111,DD201708167493661981689081319,E43A6E078A04172,4.5,4.5,78g卫龙亲嘴语辣条,2017/1/3 16:23,A,已出货未退款,已提现
